raw,canonical,slot,lang,priority,rule_type,review_status,ambiguity,tags,source,note,review_batch,review_risk,review_action,review_reason,cleaned_raw,surface_action,surface_reason,surface_risk,original_raw,decision_recommendation,decision_reason,conflict_group
重击声,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;conservative impact alias,batch_caution,high,pending,ambiguous_with_impact_knock_punch,重击,reject_surface,existing_canonical_raw_conflict,high,重击声,reject_candidate,caution_batch_default;existing_canonical_raw_conflict;ambiguous_with_impact_knock_punch,
击打,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;common sound-design search term,batch_caution,high,pending,ambiguous_with_impact_knock_punch,击打,replace_raw,strip_suffix_声,low,击打声,needs_review,caution_batch_default;surface_replace_raw;ambiguous_with_impact_knock_punch,
碰击,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;physical hit sound,batch_caution,high,pending,ambiguous_with_impact_knock_punch,碰击,replace_raw,strip_suffix_声,low,碰击声,needs_review,caution_batch_default;surface_replace_raw;ambiguous_with_impact_knock_punch;raw_multi_canonical_conflict,raw_conflict_001
拳击,Hit,action,zh,0,alias,review,high,impact/hit,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fight impact context,batch_caution,high,pending,ambiguous_with_impact_knock_punch,拳击,needs_review,fight_specific_surface,high,拳击声,needs_review,caution_batch_default;fight_specific_surface;ambiguous_with_impact_knock_punch;fight_specific,
吱吱,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;repeated squeak sound,batch_caution,high,pending,category_pollution_possible,吱吱,replace_raw,strip_suffix_声,low,吱吱声,needs_review,caution_batch_default;surface_replace_raw;category_pollution_possible,
尖锐吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp squeak,batch_caution,high,pending,category_pollution_possible,尖锐吱响,keep_raw,no_suffix,low,尖锐吱响,needs_review,caution_batch_default;category_pollution_possible,
挤压吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;squeezed object squeak,batch_caution,high,pending,category_pollution_possible,挤压吱响,keep_raw,no_suffix,low,挤压吱响,needs_review,caution_batch_default;category_pollution_possible,
金属吱响,Squeak,action,zh,0,alias,review,high,friction/squeak,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;metal squeak,batch_caution,high,pending,category_pollution_possible,金属吱响,keep_raw,no_suffix,low,金属吱响,needs_review,caution_batch_default;category_pollution_possible,
脆裂,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;sharp crack sound,batch_caution,high,pending,broad_material_spread,脆裂,replace_raw,strip_suffix_声,low,脆裂声,needs_review,caution_batch_default;surface_replace_raw;broad_material_spread,
爆裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;brief explosive crack,batch_caution,high,pending,broad_material_spread,爆裂脆响,keep_raw,no_suffix,low,爆裂脆响,needs_review,caution_batch_default;broad_material_spread,
劈裂,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;splitting crack,batch_caution,high,pending,broad_material_spread,劈裂,replace_raw,strip_suffix_声,low,劈裂声,needs_review,caution_batch_default;surface_replace_raw;broad_material_spread,
断裂脆响,Crack,action,zh,0,alias,review,high,break/crack,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;fracture transient,batch_caution,high,pending,broad_material_spread,断裂脆响,keep_raw,no_suffix,low,断裂脆响,needs_review,caution_batch_default;broad_material_spread,
单发,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发,keep_raw,no_suffix,low,单发,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发射击,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发射击,keep_raw,no_suffix,low,单发射击,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单次开火,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单次开火,keep_raw,no_suffix,low,单次开火,needs_review,weapon_batch_default;phrase_weapon_high_risk,
单发枪,Single Shot,action,zh,0,alias,review,high,weapon/phrase,ai_candidate,real_import_v0.1;pack=new_candidate;source_note=reviewed_new_candidate;atomic weapon phrase,batch_weapon,high,pending,phrase_weapon_high_risk,单发枪,replace_raw,strip_suffix_声,low,单发枪声,needs_review,weapon_batch_default;surface_replace_raw;phrase_weapon_high_risk,
冲击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;general impact sound,batch_safe,medium,pending,standard_alias_review,冲击,replace_raw,strip_suffix_声,low,冲击声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
重物撞击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;heavy object impact,batch_safe,medium,pending,standard_alias_review,重物撞击,needs_review,surface_too_descriptive,medium,重物撞击声,needs_review,safe_medium_risk;surface_too_descriptive;standard_alias_review,
碰击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;contact impact,batch_safe,medium,pending,standard_alias_review,碰击,replace_raw,strip_suffix_声,low,碰击声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review;raw_multi_canonical_conflict,raw_conflict_001
砸击,Impact,action,zh,0,alias,review,medium,impact,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;smashing impact,batch_safe,medium,pending,standard_alias_review,砸击,replace_raw,strip_suffix_声,low,砸击声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
摩擦声,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;general friction sound,batch_safe,low,pending,standard_alias_review,摩擦,reject_surface,existing_canonical_raw_conflict,high,摩擦声,reject_candidate,safe_low_risk;existing_canonical_raw_conflict;standard_alias_review,
擦蹭,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;surface rubbing,batch_safe,low,pending,standard_alias_review,擦蹭,replace_raw,strip_suffix_声,low,擦蹭声,accept_candidate,safe_low_risk;surface_replace_raw;standard_alias_review,
磨蹭,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;slow rubbing,batch_safe,low,pending,standard_alias_review,磨蹭,replace_raw,strip_suffix_声,low,磨蹭声,accept_candidate,safe_low_risk;surface_replace_raw;standard_alias_review,
表面摩擦,Friction,action,zh,0,alias,review,low,friction,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;surface friction audio,batch_safe,low,pending,standard_alias_review,表面摩擦,needs_review,surface_too_descriptive,medium,表面摩擦音,needs_review,safe_low_risk;surface_too_descriptive;standard_alias_review,
枪械,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;generic firearm object,batch_weapon,high,pending,weapon_object_high_risk,枪械,keep_raw,no_suffix,low,枪械,needs_review,weapon_batch_default;weapon_object_high_risk,
枪支,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;common firearm object,batch_weapon,high,pending,weapon_object_high_risk,枪支,keep_raw,no_suffix,low,枪支,needs_review,weapon_batch_default;weapon_object_high_risk,
火器,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;firearm class,batch_weapon,high,pending,weapon_object_high_risk,火器,keep_raw,no_suffix,low,火器,needs_review,weapon_batch_default;weapon_object_high_risk,
枪炮,Gun,object,zh,0,alias,review,high,weapon/gun,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;gun and cannon class,batch_weapon,high,pending,weapon_object_high_risk,枪炮,keep_raw,no_suffix,low,枪炮,needs_review,weapon_batch_default;weapon_object_high_risk;broad_weapon_term,
枪声,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;gunshot sound,batch_weapon,high,pending,weapon_action_high_risk,枪声,keep_raw,shot_sound_concept,high,枪声,needs_review,weapon_batch_default;weapon_action_high_risk,
炮击,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;cannon shot sound,batch_weapon,high,pending,weapon_action_high_risk,炮击,needs_review,shot_sound_concept,high,炮击声,needs_review,weapon_batch_default;shot_sound_concept;weapon_action_high_risk,
开火,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;weapon firing sound,batch_weapon,high,pending,weapon_action_high_risk,开火,replace_raw,weapon_fire_action,high,开火声,needs_review,weapon_batch_default;surface_replace_raw;weapon_action_high_risk,
发射,Shot,action,zh,0,alias,review,high,weapon/shot,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;projectile firing sound,batch_weapon,high,pending,weapon_action_high_risk,发射,needs_review,too_broad_weapon_action,high,发射声,needs_review,weapon_batch_default;too_broad_weapon_action;weapon_action_high_risk,
铁链,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;iron chain object,batch_safe,low,pending,standard_alias_review,铁链,keep_raw,no_suffix,low,铁链,accept_candidate,safe_low_risk;standard_alias_review,
锁链,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;locking chain object,batch_safe,low,pending,standard_alias_review,锁链,keep_raw,no_suffix,low,锁链,accept_candidate,safe_low_risk;standard_alias_review,
链条,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;chain movement sound,batch_safe,low,pending,standard_alias_review,链条,needs_review,object_slot_sound_event,medium,链条声,needs_review,safe_low_risk;object_slot_sound_event;standard_alias_review,
铁链晃动,Chain,object,zh,0,alias,review,low,object/chain,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;moving chain sound,batch_safe,low,pending,standard_alias_review,铁链晃动,needs_review,object_slot_sound_event,medium,铁链晃动声,needs_review,safe_low_risk;object_slot_sound_event;standard_alias_review,
开门,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door opening sound,batch_safe,medium,pending,standard_alias_review,开门,needs_review,door_event_not_object,medium,开门声,needs_review,safe_medium_risk;door_event_not_object;standard_alias_review,
关门,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door closing sound,batch_safe,medium,pending,standard_alias_review,关门,needs_review,door_event_not_object,medium,关门声,needs_review,safe_medium_risk;door_event_not_object;standard_alias_review,
门板响,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door panel sound,batch_safe,medium,pending,standard_alias_review,门板响,needs_review,object_slot_sound_event,medium,门板响,needs_review,safe_medium_risk;object_slot_sound_event;standard_alias_review,
门轴吱响,Door,object,zh,0,alias,review,medium,object/door,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;door hinge squeak,batch_safe,medium,pending,standard_alias_review,门轴吱响,needs_review,hinge_squeak_event,medium,门轴吱响,needs_review,safe_medium_risk;hinge_squeak_event;standard_alias_review;object_slot_sound_event,
坠落,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;falling sound,batch_safe,medium,pending,standard_alias_review,坠落,replace_raw,strip_suffix_声,low,坠落声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
落地声,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;landing sound,batch_safe,medium,pending,standard_alias_review,落地,reject_surface,existing_canonical_raw_conflict,high,落地声,reject_candidate,safe_medium_risk;existing_canonical_raw_conflict;standard_alias_review,
坠地,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;object hitting ground,batch_safe,medium,pending,standard_alias_review,坠地,replace_raw,strip_suffix_声,low,坠地声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
跌落,Drop,action,zh,0,alias,review,medium,drop,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;object drop sound,batch_safe,medium,pending,standard_alias_review,跌落,replace_raw,strip_suffix_声,low,跌落声,needs_review,safe_medium_risk;surface_replace_raw;standard_alias_review,
振铃,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;ringing tone,batch_caution,medium,pending,tonal_ambience_possible,振铃,needs_review,tonal_ring_surface,medium,振铃声,needs_review,caution_batch_default;tonal_ring_surface;tonal_ambience_possible,
余响,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;ringing decay,batch_caution,medium,pending,tonal_ambience_possible,余响,needs_review,tonal_tail_no_auto_promote,medium,余响,needs_review,caution_batch_default;tonal_tail_no_auto_promote;tonal_ambience_possible;tonal_tail_or_reverb_possible,
回响声,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;resonant ring,batch_caution,medium,pending,tonal_ambience_possible,回响声,needs_review,tonal_tail_no_auto_promote,medium,回响声,needs_review,caution_batch_default;tonal_tail_no_auto_promote;tonal_ambience_possible;tonal_tail_or_reverb_possible,
金属回荡,Ring,action,zh,0,alias,review,medium,ring/tonal,ai_candidate,real_import_v0.1;pack=alias_expansion;source_note=reviewed_alias_expansion;metallic ringing tail,batch_caution,medium,pending,tonal_ambience_possible,金属回荡,needs_review,tonal_tail_no_auto_promote,medium,金属回荡,needs_review,caution_batch_default;tonal_tail_no_auto_promote;tonal_ambience_possible;tonal_tail_or_reverb_possible,
