Keyword,Keyword(Trans),Description(Trans),Category,SubCategory
Mechanical,机械,各种机械设备运转、移动的声音。,MECHANICAL,
Engine,引擎,各种交通工具或机械的引擎声。,MECHANICAL,Engine
Machine,机器,工厂或设备中的机器运转声。,MECHANICAL,Machine
Click,咔哒声,按钮、开关或机械部件啮合的更小、更尖锐的声音。,MECHANICAL,Click
Servo,伺服马达,机器人或高科技设备中伺服马达转动的声音。,MECHANICAL,Servo
Hydraulic,液压,液压系统工作的声音，常有启动和泄压声。,MECHANICAL,Hydraulic
Gear,齿轮,齿轮啮合、转动的声音。,MECHANICAL,Gears
Whirr,嗡嗡声,机械快速旋转发出的持续声音。,MECHANICAL,Spin
Hum,蜂鸣声,机械设备通电或运转的低沉持续声音。,MECHANICAL,Hum
Ratchet,棘轮声,棘轮机构操作时发出的咔嗒声。,MECHANICAL,Ratchet
Lever,杠杆操作,操作杠杆装置。,MECHANICAL,Lever
Crank,曲柄转动,转动曲柄装置。,MECHANICAL,Crank
Latch,闩锁,操作闩锁装置锁住。,MECHANICAL,Latch
Unlatch,解锁,操作闩锁装置解开。,MECHANICAL,Latch
Engage,啮合,机械部件的连接或啮合。,MECHANICAL,Engage
Disengage,脱离,机械部件的分离或脱离。,MECHANICAL,Disengage
Zipper,拉链,拉开或合上拉链的声音。,MECHANICAL,Zipper
Switch,开关,拨动各种电气或机械开关的声音。,MECHANICAL,Switch
Winch,绞车,绞车或滑轮系统收放缆绳的声音。,MECHANICAL,Winch
Pulley,滑轮,滑轮系统运转的声音。,MECHANICAL,Pulley
Conveyor,传送带,工厂传送带运转的声音。,MECHANICAL,Conveyor
Printer,打印机,各种打印机的工作声音。,MECHANICAL,Printer
Cash Register,收银机,老式或现代收银机开合、按键的声音。,MECHANICAL,Cash Register
Musical,音乐/乐器,与乐器演奏或音乐元素相关的声音。,MUSICAL,
Strum,扫弦,吉他等弦乐器的扫弦动作。,MUSICAL,String
Pluck,弹拨,弹拨琴弦的声音。,MUSICAL,String
Drum Hit,鼓打击,打击各种鼓的声音。,MUSICAL,Percussion
Cymbal,镲片,镲片的撞击、摩擦声音。,MUSICAL,Percussion
Piano,钢琴,钢琴弹奏的声音。,MUSICAL,Keyboard
Shaker,沙锤,摇动沙锤等乐器。,MUSICAL,Percussion
Stinger,强调音(音乐),短促有力的音乐片段，用于强调转折或事件。,MUSICAL,Stinger
Rumble,隆隆声,沉重、持续的低频振动声，如雷声、地震、重型车辆驶过。,RUMBLE,
Sound Design,声音设计,经过设计的、非现实的或用于特定效果的声音。,SOUND DESIGN,
Sci-Fi,科幻,用于科幻场景的音效。,SOUND DESIGN,Sci-Fi
Drone,持续音,持续的、有氛围感的铺底音效，常用于营造紧张或神秘气氛。,SOUND DESIGN,Drone
Riser,上升音,音高或音量逐渐升高的音效，用于积蓄能量、制造悬念。,SOUND DESIGN,Riser
Hit,打击音,经过设计的、强有力的打击或撞击声。,SOUND DESIGN,Hit
Texture,质感,具有某种特定材质听感的抽象音效，如沙砾感、金属感。,SOUND DESIGN,Texture
Transition,过渡,用于场景或状态切换的音效，可以是whoosh、riser等。,SOUND DESIGN,Transition
Reveal,揭示,用于展示新事物、揭晓谜底时的音效，通常带有惊喜感。,SOUND DESIGN,Reveal
Sports,体育,与体育运动相关的声音。,SPORTS,
Basketball,篮球,篮球的运球、投篮、撞板声。,SPORTS,Basketball
Football,足球,踢球、球击中门柱、人群欢呼声。,SPORTS,Football
Tennis,网球,击球、球落地、球员移动声。,SPORTS,Tennis
Golf,高尔夫,挥杆、击球的声音。,SPORTS,Golf
Skateboard,滑板,滑板在地面滑行、跳跃和落地的声音。,SPORTS,Skateboard
Tools,工具,各种手动或电动工具的声音。,TOOLS,
Hammer,锤子,用锤子敲击的声音。,TOOLS,Hammer
Saw,锯子,用锯子切割木头或金属的声音。,TOOLS,Saw
Drill,钻头,电钻钻孔的声音。,TOOLS,Drill
Wrench,扳手,使用扳手拧螺母的声音。,TOOLS,Wrench
Sander,砂光机,使用砂光机打磨表面的声音。,TOOLS,Sander
Anvil,铁砧,在铁砧上锻造金属的声音。,TOOLS,Anvil
Chainsaw,电锯,电锯启动和切割的声音。,TOOLS,Chainsaw
Transportation,交通工具,各种交通工具的声音。,TRANSPORTATION,
Car,汽车,轿车、跑车等小型汽车的行驶、开关门、喇叭声。,TRANSPORTATION,Car
Truck,卡车,卡车、货车等重型车辆的声音。,TRANSPORTATION,Truck
Motorcycle,摩托车,摩托车的引擎、行驶声音。,TRANSPORTATION,Motorcycle
Train,火车,火车的行驶、汽笛、铁轨声。,TRANSPORTATION,Train
Subway,地铁,地铁进出站、在隧道中行驶的声音。,TRANSPORTATION,Train
Boat,船,船在水上行驶的声音。,TRANSPORTATION,Boat
Airplane,飞机,飞机的引擎、起飞、降落和飞过头顶的声音。,TRANSPORTATION,Airplane
Helicopter,直升机,直升机的螺旋桨和引擎声。,TRANSPORTATION,Helicopter
Bicycle,自行车,自行车骑行、车铃、链条的声音。,TRANSPORTATION,Bicycle
Pass By,驶过,交通工具从旁边快速经过的声音。,TRANSPORTATION,Pass By
Horn,喇叭,各种车辆的喇叭声。,TRANSPORTATION,Horn
Tire Skid,轮胎侧滑,汽车紧急刹车时轮胎在地面上摩擦发出的尖锐声音。,TRANSPORTATION,Car
UI,用户界面,操作App或设备界面时的各种交互音效，如点击、滑动、确认。,UI/USER INTERFACE,
Confirm,确认,表示操作成功的音效。,UI/USER INTERFACE,Confirm
Cancel,取消,表示操作取消或失败的音效。,UI/USER INTERFACE,Cancel
Notification,通知,App或系统弹出通知的提示音。,UI/USER INTERFACE,Notification
Typing,打字,键盘打字的声音。,UI/USER INTERFACE,Typing
Mouse Click,鼠标点击,点击鼠标按键的声音。,UI/USER INTERFACE,Mouse Click
Vocalization,人声,非语言的人类声音。,VOCALIZATIONS,
Laugh,笑,各种笑声。,VOCALIZATIONS,Laugh
Cough,咳嗽,咳嗽声。,VOCALIZATIONS,Cough
Cry,哭,哭泣、抽泣的声音。,VOCALIZATIONS,Cry
Scream,尖叫,因恐惧、痛苦或兴奋而发出的尖叫声。,VOCALIZATIONS,Scream
Gasp,喘气,因惊讶或恐惧而倒吸一口气的声音。,VOCALIZATIONS,Gasp
Whisper,耳语,低声说话的声音。,VOCALIZATIONS,Whisper
Pain,痛苦,生物受到伤害时发出的痛苦叫声。,VOCALIZATIONS,Pain
Effort,用力,生物在用力时发出的声音，如举重物时的哼声。,VOCALIZATIONS,Effort
Breathe,呼吸,各种呼吸声，如平稳呼吸、喘息。,VOCALIZATIONS,Breathe
Weapons,武器,各种武器的声音。,WEAPONS,
Gun,枪械,各种枪支的开火、操作音效。,WEAPONS,Guns
Rifle,步枪,步枪的射击和操作声。,WEAPONS,Guns
Pistol,手枪,手枪的射击和操作声。,WEAPONS,Guns
Shotgun,霰弹枪,霰弹枪的射击和操作声。,WEAPONS,Guns
Reload,重装,枪械更换弹匣或装填子弹的声音。,WEAPONS,Guns Handling
Gun Handling,枪械操作,武器的各种操作声，如拔枪、上膛、切换保险。,WEAPONS,Guns Handling
Arrow,弓箭,弓箭发射、飞行和击中目标的声音。,WEAPONS,Arrow
Sword,剑,剑的挥舞、碰撞、出鞘声。,WEAPONS,Blade
Unsheathe,出鞘,将刀剑从鞘中拔出的声音。,WEAPONS,Blade
Ricochet,跳弹,子弹击中硬物表面后反弹的声音。,WEAPONS,Ricochet
Artillery,火炮,大口径火炮的射击声，如加non炮、榴弹炮。,WEAPONS,Artillery
Weather,天气,各种天气现象的声音。,WEATHER,
Thunder,雷,雷声。,WEATHER,Thunder
Rain,雨,雨声。,WEATHER,Rain
Snow,雪,与雪相关的声音，如下雪时的寂静感、踩雪声。,WEATHER,Snow
Hail,冰雹,冰雹砸在不同表面上的声音。,WEATHER,Hail
Thunderstorm,雷暴,包含风、雨、雷电的完整雷暴天气环境声。,WEATHER,Thunderstorm
Modifier,修饰词,用于描述声音特性的附加词，可与其他关键词组合使用。,MODIFIER,
Light,轻微的,指动作力度小，声音轻柔。,MODIFIER,Intensity
Gentle,温柔的,指动作轻柔和缓。,MODIFIER,Intensity
Soft,柔和的,指声音不刺耳，力度较小。,MODIFIER,Intensity
Subtle,微妙的,指声音或动作不明显，难以察觉。,MODIFIER,Intensity
Faint,微弱的,指声音非常小，几乎听不见。,MODIFIER,Intensity
Medium,中等的,指力度或声音强度适中。,MODIFIER,Intensity
Moderate,适度的,指力度或声音强度在正常范围内。,MODIFIER,Intensity
Strong,强烈的,指动作力度大，声音响亮。,MODIFIER,Intensity
Hard,用力的,指动作施加了较大力量。,MODIFIER,Intensity
Heavy,沉重的,通常指冲击力大或物体重量导致的声音强度大。,MODIFIER,Intensity
Powerful,有力的,指力量感足，声音能量大。,MODIFIER,Intensity
Intense,剧烈的,指声音或动作强度非常高，引人注目。,MODIFIER,Intensity
Violent,猛烈的,指动作粗暴、力量极大，具有破坏性。,MODIFIER,Intensity
Aggressive,冲击性的,指动作具有攻击性，声音富有冲击力。,MODIFIER,Intensity
Forceful,强劲的,指力量感强劲有力。,MODIFIER,Intensity
Explosive,爆发性的,指声音强度瞬间达到极高然后可能迅速减弱。,MODIFIER,Intensity
Impactful,冲击强烈的,指声音具有很强的冲击感和效果。,MODIFIER,Intensity
Sudden,突然的,指声音或动作强度变化迅速，出乎意料。,MODIFIER,Variation
Gradual,逐渐的,指声音或动作强度缓慢变化。,MODIFIER,Variation
Consistent,持续的,指声音强度在一段时间内保持稳定。,MODIFIER,Variation
Fast,快速的,指动作或声音的速度快。,MODIFIER,Speed
Slow,缓慢的,指动作或声音的速度慢。,MODIFIER,Speed
Accelerate,加速,速度逐渐变快。,MODIFIER,Speed
Decelerate,减速,速度逐渐变慢。,MODIFIER,Speed
Rhythmic,有节奏的,声音具有规律性的节奏。,MODIFIER,Rhythm
Single,单一的,指单个物体或声源。,MODIFIER,Quantity
Few,少数的,少量物体，声音的整体感会受影响。,MODIFIER,Quantity
Multi,许多的/多个的,多个物体，声音听起来更复杂。,MODIFIER,Quantity
Cluster,一簇/一群,一堆或一组小物体。,MODIFIER,Quantity
Pile,一堆,多个物体堆积在一起。,MODIFIER,Quantity
Stack,一叠/一摞,整齐叠放的物体。,MODIFIER,Quantity
Full,满的,如容器装满的状态，影响其内容物的有效大小和声音。,MODIFIER,State
Empty,空的,如空容器，其共鸣和材质声音会更突出。,MODIFIER,State
New,新的,指物体是全新、未使用或刚制成的状态。,MODIFIER,State
Old,旧的,指物体已经使用较长时间或显得陈旧。,MODIFIER,State
Wet,湿的,指物体表面或内部含有水分。,MODIFIER,State
Dry,干的,指物体表面或内部缺乏水分。,MODIFIER,State
Broken,破损的,指物体已经损坏或断裂。,MODIFIER,State
Intact,完好的,指物体完整无缺，没有损坏。,MODIFIER,State
Damaged,受损的,指物体有部分损坏但不完全破碎。,MODIFIER,State
Frozen,冰冻的,指物体因低温而凝固结冰。,MODIFIER,State
Rusty,生锈的,指金属物体表面因氧化产生锈迹。,MODIFIER,State
Loose,松动的,指物体部件连接不紧固或物体未固定。,MODIFIER,State
Tight,紧的,指物体部件连接紧密或物体被紧固。,MODIFIER,State
Sticky,粘性的,指物体表面具有粘性，能附着其他物体。,MODIFIER,State
Clean,干净的,指物体表面没有污垢或杂质。,MODIFIER,State
Dirty,肮脏的,指物体表面有污垢或不洁净。,MODIFIER,State
Sharp,锋利的/尖锐的,指物体边缘薄而能轻易切割，或声音高亢刺耳。,MODIFIER,Character
Dull,钝的/迟钝的,指物体边缘不锋利，或声音缺乏高频和瞬态。,MODIFIER,Character
Smooth,光滑的,指物体表面平滑，没有粗糙感。,MODIFIER,Character
Rough,粗糙的,指物体表面不平，有颗粒或凹凸感。,MODIFIER,Character
Solid,实心的,指物体内部充满物质，没有空腔。,MODIFIER,Character
Hollow,空心的,指物体内部有空腔，不充满。,MODIFIER,Character
Brittle,易碎的,指物体质地脆弱，容易破碎。,MODIFIER,Character
Elastic,有弹性的,指物体在外力作用下变形后能恢复原状。,MODIFIER,Character
Stiff,僵硬的,指物体不易弯曲或变形，柔韧性差。,MODIFIER,Character
Powdery,粉末状的,指物体呈细小粉末形态。,MODIFIER,Character
Muffled,压抑的,指声音被阻隔或吸收，强度减弱不清晰。,MODIFIER,Character
Distant,遥远的,指声音来源较远，强度衰减。,MODIFIER,Distance
Close,近距的,指声音来源很近，强度较大，细节清晰。,MODIFIER,Distance
Peak,峰值的,指声音达到最大强度点。,MODIFIER,Distance
Micro,微型的,用于非常微小的物体或细节。,MODIFIER,Size
Tiny,极小的/微小的,比Small更小。,MODIFIER,Size
Small,小的,常用的基本尺寸描述。,MODIFIER,Size
Medium,中等的/适中的,常用的基本尺寸描述。,MODIFIER,Size
Large,大的,常用的基本尺寸描述。,MODIFIER,Size
Huge,巨大的,非常大。,MODIFIER,Size
Massive,巨大的/厚重的,强调体积和重量都很大。,MODIFIER,Size
Giant,巨大的/巨人般的,形容非常巨大的物体。,MODIFIER,Size
Enormous,庞大的/巨大的,同Huge/Massive。,MODIFIER,Size
Colossal,巨大的/庞大的,极其巨大。,MODIFIER,Size
Piece,一块/一片,通常指从整体分离的小块。,MODIFIER,Form
Fragment,碎片,比Piece更小或更不规则的碎块。,MODIFIER,Form
Sheet,薄片/一张,如金属板、纸张，通常面积较大但薄。,MODIFIER,Form
Plate,板/片,通常比Sheet厚，形状扁平。,MODIFIER,Form
Bar,条/杆,长条状物体。,MODIFIER,Form
Block,块,较厚实、有一定体积的块状物。,MODIFIER,Form
Chunk,大块,不规则的大块。,MODIFIER,Form
Grain / Particle,颗粒,非常小的固体颗粒。,MODIFIER,Form
Drop,一滴,用于液体，表示极小量。,MODIFIER,Form
