zh,existing,proposed
黑暗,Dark,EVIL
恶魔,Demon,EVIL
砰的一声,IMPACT,POOF
闪烁,Flicker,SHIMMER
树铃,CHIME,SHIMMER
闪光,Flash,SHIMMER
火花,SPARKS,SHIMMER
咒语,VOCAL,SPELL
符文,Rune,SPELL
魔法,ACID,SPELL
附魔,Enchant,SPELL
诅咒,Curse,SPELL
切换,Switch,CLICK
按钮,Button,CLICK
齿轮,Gear,GEARS
齿轮,Gear,GEARS
阀门,Valve,HYDRAULIC & PNEUMATIC
螺栓,MECHANISM,LATCH
撞击声,IMPACT,LEVER
叮当声,IMPACT,LEVER
吱吱声,FRICTION,PULLEY
叽叽喳喳,SOURCE,PULLEY
滚动,Scroll,PULLEY
切换,Switch,RELAY
传送带,ESCALATOR,ROLLER
卷轴,Scroll,ROLLER
切换,Switch,SWITCH
点击,TICK,SWITCH
咔哒声,CLICK,SWITCH
切换,Switch,SWITCH
按钮,Button,SWITCH
撕裂,RIP,BREAK
碎裂,Shatter,BREAK
碰撞,Crash,CRASH & DEBRIS
坠落,Fall,CRASH & DEBRIS
放下,IMPACT,HANDLE
击中,Hit,IMPACT
掉落,Loot Drop,IMPACT
碰撞,Crash,IMPACT
拖拽,Drag,MOVEMENT
滚动,Scroll,MOVEMENT
摇晃,Shake,MOVEMENT
弓箭,Bow Arrow,TONAL
缠绕,Wrap,TONAL
弯曲,BREAK,TONAL
机器人,Robot,SERVO
打印机,Printer,SERVO
风车,Windmill,TURBINE
飞机,INTERIOR,TURBINE
发电机,Generator,TURBINE
活动,CELEBRATION,ACTIVITY
购物,Shopping,ACTIVITY
放牧,GRASSLAND,ANIMAL
冲锋,Charge,ANIMAL
滑行,Taxi,CREATURE
滑动,MOVEMENT,CREATURE
齐步走,CROWD,HUMAN
闲逛,CROWD,HUMAN
滑步,CROWD,HUMAN
扭打,CROWD,HUMAN
蜂群,Swarm,INSECT
蜂箱,Beehive,INSECT
蠕动,CREATURE,INSECT
手摇铃,HANDBELL,BELLS
牛铃,ANIMAL,BELLS
大号,Tuba,BRASS
圆号,French Horn,BRASS
长号,Trombone,BRASS
小号,Trumpet,BRASS
木管,Wood Tube,BRASS
大号,Tuba,BRASS
长号,Trombone,BRASS
号角,Horn,BRASS
风铃,SHIMMER,CHIME
闪烁,Flicker,CHIME
闪光,Flash,CHIME
合唱团,BIRDSONG,CHORAL
唱诗班,Choir,CHORAL
教堂,Church,CHORAL
钢琴,Piano,KEYED
管风琴,Organ,KEYED
手风琴,Accordion,KEYED
口琴,Harmonica,MISC
定音鼓,Timpani,PERCUSSION
战鼓,War Drum,PERCUSSION
军鼓,Snare,PERCUSSION
钟琴,BELLS,PERCUSSION TUNED
木琴,Xylophone,PERCUSSION TUNED
乐队,Band,PERFORMANCE
夜总会,RESTAURANT & BAR,PERFORMANCE
吉他,Guitar,PLUCKED
竖琴,Harp,PLUCKED
琵琶,Pipa,PLUCKED
古筝,Guzheng,PLUCKED
采样,Sample,SAMPLE
音乐,Music,SONG & PHRASE
小提琴,Violin,STRINGED
大提琴,Cello,STRINGED
大提琴,Cello,STRINGED
低音,Bass,STRINGED
竖琴,Harp,STRINGED
合成,Composite,SYNTHESIZED
琶音,MUSICAL,SYNTHESIZED
合成器,GRANULAR,SYNTHESIZED
长笛,Flute,WOODWIND
萨克斯管,BRASS,WOODWIND
塌方,Collapse,AVALANCHE
泥石流,EMERGENCY,AVALANCHE
地震,Earthquake,EARTHQUAKE
隆隆声,RUMBLE,EARTHQUAKE
裂缝,BREAK,EARTHQUAKE
龙卷风,Tornado,TORNADO
海啸,Tsunami,TSUNAMI
台风,Typhoon,TYPHOON
飓风,Hurricane,TYPHOON
熔岩,LAVA,VOLCANO
背包,Inventory,BAG
旋转,SWISH,COIN
叮当声,IMPACT,COIN
工具箱,METAL,CONTAINER
腰带,TACTICAL,FASHION
钱包,BAG,FASHION
跳绳,Jump Rope,GYM
行李,Luggage,LUGGAGE
行李箱,BAG,LUGGAGE
听诊器,Stethoscope,MEDICAL
订书机,Stapler,OFFICE
标签,Tab,PACKAGING
魔术贴,Velcro,TAPE
摇晃,Shake,UMBRELLA
沙沙声,FLAP,UMBRELLA
砰砰声,MOVEMENT,UMBRELLA
铅笔,Pencil,WRITING
粉笔,Chalk,WRITING
蜡笔,Crayon,WRITING
白板笔,Dry Erase Marker,WRITING
拉链,Zipper,ZIPPER
帐篷,RECREATIONAL,ZIPPER
颤动,BLOW,FLUTTER
襟翼,Flap,FLUTTER
坠落,Fall,FLUTTER
纸板,PACKAGING,FLUTTER
滑动,MOVEMENT,FRICTION
纸板,PACKAGING,FRICTION
翻页,Page Turn,HANDLE
翻页,Page Turn,HANDLE
纸板,PACKAGING,HANDLE
杂志,BOOK,IMPACT
纸板,PACKAGING,IMPACT
撕碎,FLESH,RIP
纸板,PACKAGING,RIP
铃声,SONG & PHRASE,TONAL
纸板,PACKAGING,TONAL
撕裂,RIP,BREAK
坠落,Fall,CRASH & DEBRIS
把手,HARDWARE,HANDLE
手柄,Gamepad,HANDLE
放下,IMPACT,HANDLE
抛掷,Toss,HANDLE
掉落,Loot Drop,IMPACT
滚动,Scroll,MOVEMENT
摇晃,Shake,MOVEMENT
摇晃,Shake,MOVEMENT
夹克,ZIPPER,CLOTH
玻璃,Glass,GLASS
暴雨,GENERAL,INTERIOR
金属,Metal,METAL
罐头,Can,METAL
塑料,Plastic,PLASTIC
湖泊,LAKESIDE,WATER
池塘,LAKESIDE,WATER
屋顶,METAL,WOOD
机器人,Robot,MISC
机器人,Robot,MISC
机械,Mechanical,MOVEMENT
气动,HYDRAULIC & PNEUMATIC,MOVEMENT
液压,HYDRAULIC & PNEUMATIC,MOVEMENT
机器人,Robot,MOVEMENT
机器人,Robot,MOVEMENT
机器人,Robot,VOCAL
啁啾,BIRDSONG,VOCAL
机器人,Robot,VOCAL
撕裂,RIP,BREAK
破碎,Break,BREAK
嘎吱,Squeak,BREAK
掉落,Loot Drop,CRASH & DEBRIS
嘎吱,Squeak,FRICTION
挖掘机,Excavator,HANDLE
放下,IMPACT,HANDLE
抛掷,Toss,HANDLE
击中,Hit,IMPACT
掉落,Loot Drop,IMPACT
叮当,CLANG,IMPACT
滚动,Scroll,MOVEMENT
嘎嘎声,SHAKE,MOVEMENT
摇晃,Shake,MOVEMENT
拉伸,STRETCH,CREAK
拉紧,STRETCH,CREAK
拉扯,BODYFALL,CREAK
放下,IMPACT,HANDLE
抛掷,Toss,HANDLE
击中,Hit,IMPACT
掉落,Loot Drop,IMPACT
拉链,Zipper,MOVEMENT
领带,FASHION,MOVEMENT
扑通,IMPACT,CRASH & DEBRIS
拖拽,Drag,FRICTION
摩擦,Rub,FRICTION
放下,IMPACT,HANDLE
抛掷,Toss,HANDLE
敲击,RELAY,IMPACT
弹跳,RICOCHET,IMPACT
掉落,Loot Drop,IMPACT
移动,Move,MOVEMENT
拖拽,Drag,MOVEMENT
橡胶,CREAK,TONAL
警报,Alarm,ALARM
警告,Alert,ALARM
力场,Force Field,ENERGY
力场,Force Field,IMPACT
平台,Platform,MACHINE
宇宙飞船,SCIFI,SPACESHIP
母舰,Mothership,SPACESHIP
战列巡洋舰,MILITARY,SPACESHIP
星舰,Starship,SPACESHIP
放下,IMPACT,HANDLE
抛掷,Toss,HANDLE
雪球,CRASH & DEBRIS,IMPACT
倾倒,COLLAPSE,IMPACT
飘落,Drift Down,IMPACT
涉水,Wade,MOVEMENT
拖拽,Drag,MOVEMENT
犁地,Plow,MOVEMENT
篮球,SPORT,COURT
网球,Tennis,COURT
排球,Volleyball,COURT
羽毛球,Badminton,COURT
足球,SPORT,FIELD
棒球,SPORT,FIELD
拳击,Boxing,GYM
摔跤,GRAB,GYM
体操,Gymnastics,GYM
武术,Martial Arts,GYM
柔道,GRAB,GYM
跆拳道,Taekwondo,GYM
柔道,GRAB,GYM
保龄球,Bowling,INDOOR
台球,Billiards,INDOOR
乒乓球,Ping Pong,INDOOR
飞镖,Dart,INDOOR
滑板,Skateboard,SKATE
轮滑,Roller Skate,SKATE
游泳,LAKESIDE,WATER
潜水,Scuba,WATER
冲浪,Surf,WATER
浮潜,Snorkel,WATER
滑雪,Ski,WINTER
雪橇,Sled,WINTER
滑冰,Skate,WINTER
雪橇,Sled,WINTER
冰球,SPORT,WINTER
雪橇,Sled,WINTER
嗖嗖,MOVEMENT,SWISH
武术,Martial Arts,SWISH
摇摆,Waddle,SWISH
棘轮,RATCHET,HAND
剪刀,OFFICE,HAND
手提钻,CONSTRUCTION,PNEUMATIC
钻头,Drill Bit,POWER
遥控车,SERVO,ELECTRONIC
老虎机,CASINO,ELECTRONIC
断裂,BREAK,BRAKE
尖叫,PROTEST,BRAKE
摩擦,Rub,BRAKE
自动门,Auto Door,DOOR
轻轨,Light Rail,ELECTRIC
通勤列车,ELECTRIC,INTERIOR
区域列车,ELECTRIC,INTERIOR
城市线,ELECTRIC,INTERIOR
城际列车,ELECTRIC,INTERIOR
轻轨,Light Rail,INTERIOR
地铁,Subway,INTERIOR
单轨列车,HIGH SPEED,INTERIOR
地铁,Subway,SUBWAY
地铁,Subway,SUBWAY
电车,Streetcar,TRAM
电车,Streetcar,TRAM
缆车,Cable Car,TRAM
警报,Alarm,ALERT
短信,Text,ALERT
通知,Notice,ALERT
启动,Startup,ALERT
点击,TICK,CLICK
处理,HANDLE,DATA
故障,Fault,GLITCH
错误,Error,GLITCH
滑动,MOVEMENT,MOTION
滚动,Scroll,MOTION
翻页,Page Turn,MOTION
落叶,FOREST,LEAVES
汽车,METAL,ALARM
汽车,METAL,ANTIQUE
校车,School Bus,BUS
汽车,METAL,CAR
机动车,ANTIQUE,CAR
推土机,Bulldozer,CONSTRUCTION
挖掘机,Excavator,CONSTRUCTION
挖掘机,Excavator,CONSTRUCTION
汽车,METAL,DOOR
救护车,Ambulance,EMERGENCY
拖拉机,Tractor,FARM
收割机,Harvester,FARM
汽车,METAL,GENERIC BY
汽车,METAL,HORN
汽车,METAL,INTERIOR
卡车,FREIGHT,INTERIOR
汽车,METAL,JALOPY
故障,Fault,JALOPY
挡风玻璃,Windshield,MECHANISM
坦克,Tank,MILITARY
滑板车,SKATE,MOTORCYCLE
汽车,METAL,RACING
赛车,Race Car,RACING
救护车,Ambulance,SIREN
警察,EMERGENCY,SIREN
消防车,EMERGENCY,SIREN
爆胎,Blowout,SKID
吱吱声,FRICTION,SUSPENSION
嘎嘎声,SHAKE,SUSPENSION
轮胎,Tire,TIRE
轿车,ANTIQUE,TRUCK VAN & SUV
汽车,METAL,TRUCK VAN & SUV
面包车,INTERIOR,TRUCK VAN & SUV
沙滩越野车,ATV,UTILITY
汽车,METAL,WINDOW
鼓掌,APPLAUSE,CHEER
欢呼,APPLAUSE,CHEER
呐喊,PANIC,CHEER
儿童,Kids,CHILD
哭泣,Sob,CRYING
大惊小怪,BABY,CRYING
用力,Hard,EFFORTS
广播,PA,HISTORICAL
新闻,News,HISTORICAL
呼叫,Call,LAUGH
大喊大叫,PROTEST,SCREAM
尖叫,PROTEST,SCREAM
死亡,Death,SCREAM
跌倒,COLLAPSE,SCREAM
耳语,VOCAL,WHISPER
喃喃自语,QUIET,WHISPER
泡泡,Bubble,BUBBLES
泡泡,Bubble,BUBBLES
粘液,OOZE,BUBBLES
药水,Potion,BUBBLES
下水道,UNDERGROUND,DRAIN
淋浴,Shower,DRAIN
嘶嘶声,Hiss,FIZZ
气泡,Bubble,FIZZ
嘶嘶声,Hiss,FIZZ
水流,Water Flow,FLOW
飞溅,SOURCE,FOUNTAIN
嘶嘶声,Hiss,FOUNTAIN
跳水,Dive,IMPACT
浇灌,Watering,IMPACT
晃动,MOVEMENT,LAP
水槽,DRAIN,PLUMBING
淋浴,Shower,PLUMBING
倾倒,COLLAPSE,POUR
飞溅,SOURCE,SPLASH
游泳,LAKESIDE,SPLASH
潜水,Scuba,SPLASH
跳水,Dive,SPLASH
晃动,MOVEMENT,SPLASH
泼洒,IMPACT,SPLASH
淹没,UNDERWATER,SPLASH
喷洒,CRASH & DEBRIS,SPRAY
喷射,Spray,SPRAY
喷洒,CRASH & DEBRIS,SPRAY
涌出,Rush Out,SPRAY
蒸汽,Steam,STEAM
嘶嘶,Hiss,STEAM
溅射,SPARKS,STEAM
海岸线,SEASIDE,SURF
海滨,SEASIDE,SURF
沙滩,SEASIDE,SURF
波浪,BOW WASH,SURF
漩涡,TORNADO,TURBULENT
涡流,ENERGY,TURBULENT
水下,Underwater,UNDERWATER
流动,MOVEMENT,UNDERWATER
大坝,Dam,WATERFALL
波浪,BOW WASH,WAVE
潮汐,Tide,WAVE
海滨,SEASIDE,WAVE
码头,Pier,WAVE
盔甲,Armor,ARMOR
警棍,Baton,BLUNT
长矛,Lance,POLEARM
标枪,Javelin,POLEARM
长剑,Longsword,SWORD
飓风,Hurricane,STORM
台风,Typhoon,STORM
雨夹雪,HAIL,STORM
龙卷风,Tornado,STORM
旋风,TYPHOON,STORM
冰雹,HAIL,STORM
雷暴,STORM,THUNDER
裂纹,LAVA,THUNDER
隆隆声,RUMBLE,THUNDER
欢呼,APPLAUSE,HUMAN
声浪,CHEERING,HUMAN
信号,TEST TONE,HUMAN
嘟嘟,REAL,MECHANICAL
警笛,Siren,MECHANICAL
音调,TONAL,DESIGNED
各种各样的,MISC,GENERAL
室内,Indoor,INTERIOR
摩擦,Rub,INTERIOR
口哨,HUMAN,TONAL
呻吟,INTERIOR,TONAL
旋风,TYPHOON,TURBULENT
飓风,Hurricane,TURBULENT
台风,Typhoon,TURBULENT
叶子,MISC,VEGETATION
沙沙声,FLAP,VEGETATION
百叶窗,INTERIOR,COVERING
百叶窗,INTERIOR,COVERING
窗户,GLASS,HARDWARE
敲击,RELAY,KNOCK
晃动,MOVEMENT,KNOCK
飞过,WHOOSH,BIRD
撕裂,RIP,BREAK
破碎,Break,BREAK
碎片,CRASH & DEBRIS,BREAK
坠落,Fall,CRASH & DEBRIS
坠落,Fall,CRASH & DEBRIS
设置,Settings,HANDLE
拾取,Pickup,HANDLE
放下,IMPACT,HANDLE
击中,Hit,IMPACT
滚动,Scroll,MOVEMENT
摇晃,Shake,MOVEMENT
金属,Metal,TONAL
敲击,RELAY,TONAL
