canonical,variant,source
accelerate,accel,soundminer
accelerate,accelerated,soundminer
activate,activator,soundminer
aggression,aggressive,soundminer
agony,agonize,soundminer
agony,agonizing,soundminer
ahh,ahhh,soundminer
aircraft,airliner,soundminer
aircraft,airplane,soundminer
aircraft,arpl,soundminer
aircraft,jet,soundminer
aircraft,plane,soundminer
aircraft,aeroplane,soundminer
aircraft,biplane,soundminer
allegro,fast,soundminer
allegro,pacey,soundminer
allegro,quick,soundminer
allegro,snappy,soundminer
allegro,swift,soundminer
alligator,crocodile,soundminer
aluminum,aluminium,soundminer
amazed,amazement,soundminer
amazed,astonished,soundminer
amazed,wonder,soundminer
amazed,wow,soundminer
amazement,astonished,soundminer
amazement,wonder,soundminer
ambience,amb,soundminer
ambience,ambiance,soundminer
ambience,atmos,soundminer
ambience,atmosphere,soundminer
ambience,background,soundminer
ambience,bg,soundminer
ambience,bgrd,soundminer
ammunition,ammo,soundminer
ammunition,bullet,soundminer
ammunition,round,soundminer
amplifier,amp,soundminer
amplifier,amplification,soundminer
amusement,carnival,soundminer
amusement,circus,soundminer
amusement,fair,soundminer
amusing,comical,soundminer
amusing,comic,soundminer
amusing,comedy,soundminer
amusing,funny,soundminer
amusing,humourous,soundminer
anger,angry,soundminer
anger,disgruntled,soundminer
anger,mad,soundminer
anger,nasty,soundminer
anger,vicious,soundminer
anger,violent,soundminer
anger,annoyed,soundminer
anger,peeved,soundminer
anger,vexed,soundminer
anger,aggravated,soundminer
anger,exasperated,soundminer
anger,irritated,soundminer
anger,miffed,soundminer
animal,anml,soundminer
announcement,loudspeaker,soundminer
announcement,pa,soundminer
announcement,page,soundminer
announcement,paging,soundminer
antenna,aerial,soundminer
antenna,antennae,soundminer
antique,old,soundminer
antique,period,soundminer
antique,vintage,soundminer
ape,monkey,soundminer
ape,simian,soundminer
applause,applaud,soundminer
applause,applauding,soundminer
aproximately,approx,soundminer
aquarium,fishtank,soundminer
arc,spark,soundminer
armour,armor,soundminer
arrow,archer,soundminer
arrow,bow,soundminer
arrow,crossbow,soundminer
auditorium,hall,soundminer
automobile,auto,soundminer
automobile,car,soundminer
axe,ax,soundminer
baby,infant,soundminer
baby,newborn,soundminer
bad,awful,soundminer
bad,snafu,soundminer
bad,nfg,soundminer
bad,ng,soundminer
bake,cook,soundminer
bankrupt,banruptcy,soundminer
banquet,feast,soundminer
banquet,party,soundminer
bar,pub,soundminer
bar,saloon,soundminer
bar,tavern,soundminer
barbeque,bbq,soundminer
barbeque,grill,soundminer
barbeque,bbq,soundminer
basement,cellar,soundminer
basin,washbasin,soundminer
basin,handbasin,soundminer
battery,batteries,soundminer
battery,drycell,soundminer
bee,honeybee,soundminer
bee,yellowjacket,soundminer
bee,wasp,soundminer
bee,hive,soundminer
bee,hornet,soundminer
beep,bleep,soundminer
beep,blip,soundminer
beep,telemetry,soundminer
beep,tone,soundminer
beggar,bum,soundminer
beggar,wino,soundminer
beggar,hobo,soundminer
belch,burp,soundminer
bell,carillon,soundminer
bell,belltower,soundminer
bellow,yell,soundminer
bellow,scream,soundminer
bellow,shout,soundminer
bellow,shriek,soundminer
bicycle,bike,soundminer
bicycle,cyclist,soundminer
bite,biting,soundminer
bizarre,weird,soundminer
bizarre,strange,soundminer
bizarre,peculiar,soundminer
blender,osterizer,soundminer
blender,liquifier,soundminer
blender,cuisinart,soundminer
blender,mixer,soundminer
blinkers,indicators,soundminer
blinkers,flashers,soundminer
blinkers,signals,soundminer
bodyfall,bf,soundminer
bodyfall,body fall,soundminer
boil,bubble,soundminer
boil,bubbling,soundminer
boulder,stone,soundminer
boulder,rock,soundminer
bridle,harness,soundminer
bridle,stirrup,soundminer
brief,short,soundminer
british,uk,soundminer
british,english,soundminer
british,england,soundminer
broadsword,sword,soundminer
broadsword,sabre,soundminer
broadsword,foil,soundminer
broadsword,scimitar,soundminer
broadsword,blade,soundminer
broadsword,scabbord,soundminer
brook,stream,soundminer
brook,creek,soundminer
brook,river,soundminer
bubbly,fizz,soundminer
bubbly,fizzy,soundminer
bubbly,aerated,soundminer
bucket,pail,soundminer
bug,insect,soundminer
buggy,carriage,soundminer
buggy,wagon,soundminer
buggy,gig,soundminer
buggy,chuckwagon,soundminer
bullwhip,whip,soundminer
bush,bushes,soundminer
bush,shrub,soundminer
by,passby,soundminer
by,passed,soundminer
by,pass,soundminer
bye,goodbye,soundminer
cab,taxi,soundminer
cabaret,nightclub,soundminer
cabaret,disco,soundminer
cabaret,dancehall,soundminer
cafeteria,mess,soundminer
cafeteria,messhall,soundminer
camera,konica,soundminer
camera,polaroid,soundminer
canary,canaries,soundminer
candy,candies,soundminer
candy,lollipop,soundminer
candy,sweets,soundminer
cannon,howitzer,soundminer
cannon,black powder,soundminer
cardiac,heart,soundminer
carpark,garage,soundminer
carpark,lot,soundminer
carpet,rug,soundminer
cart,kart,soundminer
cartoon,crtn,soundminer
cartoon,cartoony,soundminer
cat,kitten,soundminer
cat,tomcat,soundminer
cat,kitty,soundminer
cat,feline,soundminer
cathedral,church,soundminer
cathedral,dome,soundminer
cathedral,pantheon,soundminer
cathedral,temple,soundminer
cattle,cow,soundminer
cattle,calf,soundminer
cattle,calves,soundminer
celebration,party,soundminer
celebration,ritual,soundminer
cell,gaol,soundminer
cell,jail,soundminer
cell,prison,soundminer
chicken,hen,soundminer
chicken,rooster,soundminer
chicken,cock,soundminer
chicken,cockeral,soundminer
child,children,soundminer
child,schoolchildren,soundminer
child,kid,soundminer
chimpanzee,chimp,soundminer
chimpanzee,monkey,soundminer
chop,chopping,soundminer
christmas,xmas,soundminer
christmas,noel,soundminer
chute,parachute,soundminer
city,cities,soundminer
city,downtown,soundminer
city,urban,soundminer
clap,applaude,soundminer
clap,applause,soundminer
cleaver,hatchet,soundminer
close,slam,soundminer
close,shut,soundminer
clothing,garment,soundminer
coal,ember,soundminer
coat,jacket,soundminer
coliseum,stadium,soundminer
college,university,soundminer
comet,meteor,soundminer
comet,spacedust,soundminer
communicate,communicator,soundminer
computer,pc,soundminer
computer,mac,soundminer
computer,laptop,soundminer
computer,desktop,soundminer
conditioner,ventilation,soundminer
conditioner,ventilator,soundminer
conditioner,conditioning,soundminer
congratulations,congratulatory,soundminer
conversation,conversational,soundminer
conversation,dialog,soundminer
conversation,dialogue,soundminer
conversation,voice,soundminer
copier,photocopier,soundminer
copier,xerox,soundminer
corridor,hallway,soundminer
corridor,passageway,soundminer
corridor,concourse,soundminer
cosmic,celestrial,soundminer
crash,bash,soundminer
crash,bashed,soundminer
crash,bashing,soundminer
crash,break,soundminer
crash,broke,soundminer
crash,broken,soundminer
crash,crashed,soundminer
crash,crashes,soundminer
crash,crashing,soundminer
crash,crsh,soundminer
crash,smash,soundminer
crash,smashed,soundminer
crash,smashing,soundminer
creak,creaky,soundminer
creak,crek,soundminer
creak,squeak,soundminer
creak,squeaky,soundminer
crumple,crumpling,soundminer
crumple,crumpled,soundminer
crush,crushed,soundminer
crush,crushing,soundminer
cup,mug,soundminer
customer,patron,soundminer
cym,cymbal,soundminer
dad,daddy,soundminer
dad,father,soundminer
dawn,sunrise,soundminer
dawn,daylight,soundminer
deli,delicatessen,soundminer
die,dying,soundminer
die,died,soundminer
die,dead,soundminer
ding,ring,soundminer
ding,rang,soundminer
ding,dong,soundminer
dino,dinosaur,soundminer
dirt,soil,soundminer
disbelief,mistrust,soundminer
distant,distance,soundminer
distant,far,soundminer
donkey,mule,soundminer
donkey,ass,soundminer
donkey,jackass,soundminer
downpipe,drainpipe,soundminer
downpipe,downspout,soundminer
downshift,shift,soundminer
drive,drove,soundminer
drive,steer,soundminer
drugstore,pharmacy,soundminer
drunk,inebriated,soundminer
drunk,wasted,soundminer
dusk,sundown,soundminer
dusk,nighttime,soundminer
earthquake,quake,soundminer
earthquake,rumble,soundminer
earthquake,avalanche,soundminer
east,eastern,soundminer
eat,eaten,soundminer
eat,ate,soundminer
eat,munch,soundminer
eat,snack,soundminer
eat,dine,soundminer
eat,dining,soundminer
eaves,eavestrough,soundminer
echo,reverb,soundminer
echo,reverberent,soundminer
echo,reverberation,soundminer
echo,reverberating,soundminer
echo,reverberated,soundminer
echo,reverberant,soundminer
echo,verb,soundminer
ekg,electrocardiogram,soundminer
engine,motor,soundminer
evangelist,preacher,soundminer
ewe,lamb,soundminer
ewe,sheep,soundminer
explosion,bang,soundminer
explosion,blast,soundminer
explosion,boom,soundminer
explosion,detonate,soundminer
explosion,expl,soundminer
explosion,explode,soundminer
expressway,highway,soundminer
expressway,freeway,soundminer
expressway,interstate,soundminer
expressway,tollway,soundminer
fall,fell,soundminer
fall,fallen,soundminer
fall,drop,soundminer
fax,telefax,soundminer
fear,fearful,soundminer
fear,fright,soundminer
fear,scare,soundminer
fear,terror,soundminer
fear,terrified,soundminer
female,woman,soundminer
female,her,soundminer
female,lady,soundminer
female,feminine,soundminer
ferry,ferryboat,soundminer
ferry,ferries,soundminer
fire,burn,soundminer
fire,burning,soundminer
fire,campfire,soundminer
fire,flame,soundminer
fire,flaming,soundminer
fire,bonfire,soundminer
firearm,gun,soundminer
firearm,pistol,soundminer
firearm,handgun,soundminer
firearm,luger,soundminer
firearm,revolver,soundminer
firearm,sidearm,soundminer
firework,firecracker,soundminer
firework,pyro,soundminer
firework,pyrotechnic,soundminer
floppy,floppies,soundminer
fluctuate,fluctuating,soundminer
fluctuate,fluctuation,soundminer
fly,flies,soundminer
fly,housefly,soundminer
foley,foly,soundminer
foot,feet,soundminer
foot,step,soundminer
foot,footstep,soundminer
foot,fs,soundminer
foot,footwork,soundminer
foot,footstomp,soundminer
forceful,forcefully,soundminer
forward,forwarded,soundminer
forward,forwarding,soundminer
forward,fwd,soundminer
foyer,mezzanine,soundminer
foyer,lobby,soundminer
foyer,mall,soundminer
french,france,soundminer
french,franc,soundminer
french,francophone,soundminer
french,francais,soundminer
frequency,frequencies,soundminer
frequency,freq,soundminer
frog,toad,soundminer
frog,treefrog,soundminer
frustrated,frustration,soundminer
fry,fries,soundminer
fry,frying,soundminer
fry,fricasse,soundminer
garbage,waste,soundminer
garbage,rubbish,soundminer
garbage,junk,soundminer
garbage,crap,soundminer
garbage,trash,soundminer
gargle,gargling,soundminer
gas,gasoline,soundminer
gas,petrol,soundminer
gas,benzine,soundminer
gift,present,soundminer
give,gave,soundminer
glove,mitten,soundminer
glove,mitt,soundminer
go,going,soundminer
go,goes,soundminer
go,gone,soundminer
goose,geese,soundminer
gorge,ravine,soundminer
gorge,canyon,soundminer
grandfather,gramp,soundminer
grandfather,grampa,soundminer
grandmother,granma,soundminer
grandstand,bleachers,soundminer
grass,lawn,soundminer
greek,grecian,soundminer
greek,greco,soundminer
greek,greece,soundminer
gurgle,gurgled,soundminer
gurgle,gurgley,soundminer
gurgle,gurgling,soundminer
gust,gusty,soundminer
gymnasium,gym,soundminer
hacksaw,saw,soundminer
halt,stop,soundminer
helicopter,chopper,soundminer
helicopter,heli,soundminer
helicopter,copter,soundminer
hinge,joint,soundminer
hippopotamus,hippo,soundminer
hiss,hissing,soundminer
hiss,hisses,soundminer
hog,swine,soundminer
hog,sow,soundminer
hog,pig,soundminer
home,house,soundminer
home,domicile,soundminer
honk,honking,soundminer
hood,bonnet,soundminer
hoof,hooves,soundminer
hooray,hurrah,soundminer
horn,claxon,soundminer
horn,klaxon,soundminer
horror,horr,soundminer
horse,mare,soundminer
horse,yearling,soundminer
horse,pony,soundminer
horse,thoroughbread,soundminer
hot,heat,soundminer
hot,smoldering,soundminer
howl,yowl,soundminer
howl,bay,soundminer
husky,huskies,soundminer
impact,beat,soundminer
impact,hit,soundminer
impact,impt,soundminer
impact,kick,soundminer
impact,pound,soundminer
impact,pounding,soundminer
impact,punch,soundminer
impact,impacting,soundminer
impact,impacted,soundminer
interior,int,soundminer
interior,indoor,soundminer
interior,inside,soundminer
italy,italian,soundminer
jacuzzi,whirpool,soundminer
jacuzzi,spa,soundminer
jacuzzi,hottub,soundminer
jalopy,jalopies,soundminer
juicy,moist,soundminer
juicy,pulpy,soundminer
juicy,wet,soundminer
knife,knives,soundminer
knife,blade,soundminer
large,big,soundminer
large,enormous,soundminer
large,giant,soundminer
large,gigantic,soundminer
large,huge,soundminer
large,immense,soundminer
large,lg,soundminer
large,massive,soundminer
laugh,chuckle,soundminer
laugh,chuckling,soundminer
laugh,giggle,soundminer
laugh,giggling,soundminer
laugh,laughing,soundminer
laugh,laughter,soundminer
leaf,leaves,soundminer
life,lives,soundminer
lift,elevator,soundminer
light,lit,soundminer
line,queue,soundminer
loaf,bread,soundminer
loaf,baguette,soundminer
lorry,truck,soundminer
lorry,lorries,soundminer
luggage,suitcase,soundminer
lullaby,lullabye,soundminer
lullaby,lullabies,soundminer
mach,machine,soundminer
magic,magical,soundminer
man,men,soundminer
man,male,soundminer
man,he,soundminer
man,him,soundminer
man,gentlemen,soundminer
manuever,manoeuver,soundminer
manuever,manuver,soundminer
marsh,moor,soundminer
marsh,marshland,soundminer
med,medium,soundminer
merchant,vendor,soundminer
metal,metalic,soundminer
metal,metl,soundminer
metal,metallic,soundminer
metal,metalley,soundminer
midday,noon,soundminer
midday,afternoon,soundminer
miscellaneous,misc,soundminer
missfire,backfire,soundminer
missfire,sputter,soundminer
mom,momma,soundminer
mom,mommy,soundminer
mom,mother,soundminer
moped,scooter,soundminer
moped,vespa,soundminer
movement,mvmt,soundminer
music,mx,soundminer
native,tribe,soundminer
native,tribal,soundminer
near,close,soundminer
near,cu,soundminer
neigh,whinny,soundminer
neigh,whinnie,soundminer
newyork,ny,soundminer
newyork,nyc,soundminer
nice,pretty,soundminer
nice,sweet,soundminer
nylons,stockings,soundminer
oar,paddle,soundminer
ocean,sea,soundminer
officer,cop,soundminer
officer,police,soundminer
officer,constable,soundminer
orchestra,symphony,soundminer
orchestra,orch,soundminer
orchestra,orchestral,soundminer
oriental,asian,soundminer
outdoor,exterior,soundminer
outdoor,outside,soundminer
outdoor,ext,soundminer
pace,speed,soundminer
pace,tempo,soundminer
pavement,sidewalk,soundminer
phlem,flem,soundminer
phlem,phlegm,soundminer
phonograph,turntable,soundminer
phonograph,record,soundminer
phonograph,victrola,soundminer
pill,tablet,soundminer
plastic,plasticy,soundminer
plow,plough,soundminer
plow,ploughed,soundminer
plow,ploughing,soundminer
portable,mobile,soundminer
pot,saucepan,soundminer
pot,skillet,soundminer
pram,stroller,soundminer
precede,preceed,soundminer
precede,procede,soundminer
precede,proceed,soundminer
pry,pried,soundminer
pull,tug,soundminer
pulsate,oscillate,soundminer
pulsate,oscillating,soundminer
pulsate,pulsating,soundminer
punchclock,timeclock,soundminer
puppy,pup,soundminer
pushbutton,touchtone,soundminer
receive,recieve,soundminer
register,till,soundminer
religion,religious,soundminer
residential,suburban,soundminer
restaurant,cafe,soundminer
revving,revs,soundminer
rewind,rewinding,soundminer
rewind,rew,soundminer
rhino,rhinoceros,soundminer
riccochet,ricco,soundminer
rip,tear,soundminer
rip,torn,soundminer
roadster,dragster,soundminer
robot,robotic,soundminer
rocketship,rocket,soundminer
rocketship,spaceship,soundminer
rocketship,ufo,soundminer
rocketship,spacecraft,soundminer
rocky,stony,soundminer
rome,roman,soundminer
rubber,latex,soundminer
run,ran,soundminer
run,running,soundminer
runway,tarmac,soundminer
scary,eerie,soundminer
school,schoolhouse,soundminer
scifi,interplanetary,soundminer
scifi,interstellar,soundminer
scuff,scuffle,soundminer
scuff,shuffle,soundminer
send,sent,soundminer
send,transmit,soundminer
shed,woodshed,soundminer
shipyard,dock,soundminer
shipyard,dockyard,soundminer
shotgun,rifle,soundminer
shotgun,musket,soundminer
shovel,spade,soundminer
silverware,utensil,soundminer
ski,skiing,soundminer
ski,skiers,soundminer
sled,toboggen,soundminer
sled,sleigh,soundminer
small,little,soundminer
small,tiny,soundminer
small,mini,soundminer
small,miniature,soundminer
small,lightweight,soundminer
small,diminutive,soundminer
snake,rattlesnake,soundminer
snake,cobra,soundminer
snake,boa,soundminer
snake,python,soundminer
sneaker,trainer,soundminer
sneaker,pump,soundminer
snowboard,snowboarding,soundminer
sob,cry,soundminer
sob,bawl,soundminer
sob,cries,soundminer
sob,wail,soundminer
soda,pop,soundminer
sonar,radar,soundminer
speak,spoken,soundminer
spectator,crowd,soundminer
spin,twirl,soundminer
spin,swirl,soundminer
spin,whirl,soundminer
splatter,splattering,soundminer
sproing,boing,soundminer
sproing,twang,soundminer
squeal,squealy,soundminer
staircase,stairs,soundminer
staircase,stairway,soundminer
stick,stuck,soundminer
sting,stung,soundminer
stink,smell,soundminer
stink,putrid,soundminer
stink,stank,soundminer
stopped,shutoff,soundminer
streetcar,tram,soundminer
streetcar,trolley,soundminer
strike,struck,soundminer
supermarket,superstore,soundminer
surf,wave,soundminer
swim,swimming,soundminer
swim,swimmers,soundminer
swish,whoosh,soundminer
swish,swoosh,soundminer
swiss,switzerland,soundminer
synthesizer,synth,soundminer
taken,took,soundminer
telephone,phone,soundminer
telephone,cellphone,soundminer
television,tv,soundminer
theater,theatre,soundminer
theater,movie,soundminer
theater,amphitheater,soundminer
throw,threw,soundminer
thunder,thunderclap,soundminer
thunder,thunderstorm,soundminer
timpani,tympani,soundminer
toilet,urinal,soundminer
toilet,commode,soundminer
tooth,teeth,soundminer
train,locomotive,soundminer
twig,branch,soundminer
twig,branches,soundminer
umpire,ump,soundminer
umpire,referee,soundminer
umpire,official,soundminer
vary,variations,soundminer
vary,alternative,soundminer
vary,alt,soundminer
vault,lockbox,soundminer
vault,encase,soundminer
volt,voltage,soundminer
vomit,barf,soundminer
vomit,hurl,soundminer
walla,chat,soundminer
walla,murmur,soundminer
walla,murmurring,soundminer
walla,chatter,soundminer
waterfall,niagara,soundminer
wind,windy,soundminer
window,pane,soundminer
window,windowpane,soundminer
wolf,wolves,soundminer
wrestle,wrestling,soundminer
write,writing,soundminer
zip,zipped,soundminer
