Concept,Keywords
Arcade,"8bit, lo-fi, retro, playful, arpeggio, square wave"
Arcana,"tarot, tonal, shimmer, fantasy, metallic, bright"
Arcanists,"alchemy, magic, glassy, chemistry, runeword, poofs"
Ashen Knights,"dark souls, corrupt, smokey, ethereal, dirty, choir"
Astronauts,"space, synth, theremin, disney"
Battle Academia,"anime, filter sweep, synth, positive, modern, freq shift"
Battle Bunny,"hi-tech, synth, sci-fi, modern, physical"
Battle Boss,"8bit, classic, retro, lo-fi, distortion, synth"
Battlecast,"dirty, heavy, ballistic, distortion, analog, industrial"
Bees!,"goo, slime, sticky, buzz"
Bewitching,"halloween, spooky, playful, theremin, retro, bats"
Blood Moon,"japanese, eastern, shakuhachi, koto, dark, eerie"
Bubblegum (Kudos),"space, anime, sci-fi, cowboy"
Cafe Cuties,"glitter, cute, sweet, kitchenware, playful, whimsical"
Cats Versus Dogs,"animals, cute, playful, cartoon"
Cosmic,"space, spectral, alien, sci-fi, ethereal, vast"
Crime City,"noir, jazz, brass, suspense, rain, siren"
Crystal Rose,"glass, shimmer, elegant, high frequency, magical"
Cyber Pop,"cyberpunk, glitch, digital, synth, pop, upbeat"
Dark Star,"cosmic, horror, deep, low, drone, ominous"
Dawnbringer,"light, holy, angelic, choir, reverb, bright"
Death Sworn,"ghostly, spectral, whisper, cold, eerie"
Debonair,"classy, jazz, clean, smooth, modern"
Demacia Vice,"synthwave, 80s, retro, neon, analog"
Dragon Trainer,"creature, fire, roar, scales, cute"
Dragon World,"oriental, myth, epic, orchestral, percussion"
Elderwood,"nature, forest, wood, organic, magic, mysterious"
Empyrean,"fire, energy, neon, abstract, synthetic"
Fright Night,"horror, gothic, spooky, creaky, vintage"
Glitchpop,"glitch, digital, bright, chaotic, modern"
God King,"epic, orchestral, divine, heavy, massive"
Goth,"dark, heavy, guitar, distortion, angst"
Guardian of the Sands,"desert, sand, wind, dry, eastern"
Headhunter,"tribal, primal, tech, hunt, stealth"
Hextech,"magic, tech, steampunk, gear, crystal, electricity"
High Noon,"western, cowboy, gun, whistle, harmonica, fire"
Infernal,"fire, burning, ash, lava, destruction"
Inkshadow,"ink, paint, liquid, dark, stain"
Ionic,"electric, spark, lightning, energy, buzz"
Justicar,"gold, light, metallic, holy, divine"
KDA,"musical, melodic, kpop, crystal"
Lunar Beast,"fireworks, celebration, mythical, eastern"
Marauder,"armor, heavy, metallic, brutal, dark"
Mecha,"robot, servo, hydraulic, metal, sci-fi"
Mecha Kingdoms,"robot, eastern, colossal, heavy, tech"
Monster Tamer,"playful, physical, creature, positive, pokemon"
Nightbringer,"demonic, squeal, beast, distortion, poofs"
Odyssey,"space, spectral, alien, sci-fi, futuristic, cowboy"
Omega Squad,"military, radio, static, glitch, tech"
Papercraft,"foley, physical, magic"
Pentakill,"metallic, instruments, distortion, arpeggio, minor scale"
Phoenixmancers,"bird, fire, magic, eastern"
Pool Party,"water, rubber, playful, squeaky, ukelele, slide guitar"
Porcelain,"glassy, pottery, eastern, physical, magic, tonal"
PROJECT,"hi-tech, sci-fi, distortion, virus, glitch, corrupt"
PsyOps,"alien, xcom, spectral"
Pulsefire,"hi-tech, sci-fi, energy, telemetry, clean, precise"
Resistance,"metallic, robot, industrial, grungy, rusty, analog"
Sentinel,"light, positive, hi-tech, clean, reverb"
Shan Hai Scrolls,"chinese, eastern, monsters, eerie, traditional, tonal"
Shockblade,"japanese, eastern, lightning, electric, runeword, ninja"
Snowdown,"christmas, cold, ice, bells - twinkly, poofs"
Space Groove,"space, slime, goo, futuristic, playful, musical"
Spirit Blossom,"japanese, eastern, yokai, spirit, elegant, zen"
Star Guardian,"anime, synth, chorus, sparkle, magical girl"
Star Nemesis,"anime, dark, synth, corrupted, villain"
Steel Valkyries,"sci-fi, metallic, space, suit, tech"
Sugar Rush,"candy, sweet, squishy, pop, playful"
Super Galaxy,"retro, anime, mecha, hero, upbeat"
Thunder Lord,"lightning, thunder, storm, electric, loud"
True Damage,"hip hop, modern, bass, beat, street"
Underworld,"ghost, spirit, green, soul, wail"
Void,"alien, purple, dark, organic, slimy, horror"
Warring Kingdoms,"chinese, historical, epic, drums, eastern"
Winterblessed,"winter, magic, aurora, elegant, cold"
Withered Rose,"dark, elegant, gothic, thorn, petal"
Worldbreaker,"mayan, aztec, titan, curse, occult, stones"
Zombie,"undead, groan, flesh, horror, slime"